Division,Carline,EngDispl,Cyl,CombMPG,Transmission ,Gears,EPA,Money,CombCO2
Acura,NSX,3.5,6,21,Automated Manual- Selectable (e.g. Automated Manual with paddles),9,2300,4000,420
ALFA ROMEO,4C,1.8,4,28,Automated Manual,6,1750,1250,317
Aston Martin Lagonda Ltd,Vantage V8,4.0,8,20,Semi-Automatic,8,2450,4750,435
Audi,R8,5.2,10,16,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3050,7750,556
Audi,R8 Spyder,5.2,10,16,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3050,7750,556
Audi,TT Roadster quattro,2.0,4,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,340
BMW,Z4 M40i,3.0,6,26,Semi-Automatic,8,1900,2000,334
BMW,Z4 sDrive30i,2.0,4,27,Semi-Automatic,8,1800,1500,324
Bugatti,Chiron,8.0,16,11,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4450,14750,840
"Ferrari North America, Inc.",488 Pista,3.9,8,17,Automated Manual,7,2850,6750,524
"Ferrari North America, Inc.",488 Pista Spider,3.9,8,17,Automated Manual,7,2850,6750,531
"Ferrari North America, Inc.",812 Superfast,6.5,12,13,Automated Manual,7,3750,11250,661
"Ferrari North America, Inc.",F8 Tributo,3.9,8,16,Automated Manual,7,3050,7750,541
FIAT,124 Spider,1.4,4,29,Automatic,6,1700,1000,302
FIAT,124 Spider,1.4,4,30,Manual,6,1600,500,298
Jaguar,F-TYPE AWD Convertible,5.0,8,18,Semi-Automatic,8,2700,6000,481
Jaguar,F-TYPE AWD Coupe,5.0,8,18,Semi-Automatic,8,2700,6000,481
Jaguar,F-TYPE Convertible,2.0,4,26,Semi-Automatic,8,1900,2000,346
Jaguar,F-TYPE Convertible,3.0,6,23,Semi-Automatic,8,2100,3000,390
Jaguar,F-TYPE Coupe,2.0,4,26,Semi-Automatic,8,1900,2000,346
Jaguar,F-TYPE Coupe,3.0,6,23,Semi-Automatic,8,2100,3000,390
Jaguar,F-TYPE S AWD Convertible,3.0,6,21,Semi-Automatic,8,2300,4000,426
Jaguar,F-TYPE S AWD Coupe,3.0,6,21,Semi-Automatic,8,2300,4000,426
Jaguar,F-TYPE S Convertible,3.0,6,22,Semi-Automatic,8,2200,3500,407
Jaguar,F-TYPE S Coupe,3.0,6,22,Semi-Automatic,8,2200,3500,407
Jaguar,F-TYPE SVR AWD Convertible,5.0,8,18,Semi-Automatic,8,2700,6000,481
Jaguar,F-TYPE SVR AWD Coupe,5.0,8,18,Semi-Automatic,8,2700,6000,481
Lamborghini,Aventador Coupe,6.5,12,11,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4450,14750,787
Lamborghini,Aventador Roadster,6.5,12,11,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,4450,14750,806
Lamborghini,Huracan,5.2,10,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3250,8750,596
Lamborghini,Huracan Spyder,5.2,10,15,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,3250,8750,596
Mercedes-Benz,AMG GT (coupe),4.0,8,18,Automated Manual,7,2700,6000,488
Mercedes-Benz,AMG GT (roadster),4.0,8,18,Automated Manual,7,2700,6000,488
Mercedes-Benz,AMG GT C (coupe),4.0,8,17,Automated Manual,7,2850,6750,506
Mercedes-Benz,AMG GT C (roadster),4.0,8,17,Automated Manual,7,2850,6750,525
Mercedes-Benz,AMG GT R (coupe),4.0,8,17,Automated Manual,7,2850,6750,526
Mercedes-Benz,AMG GT R (roadster),4.0,8,17,Automated Manual,7,2850,6750,526
Mercedes-Benz,AMG SLC 43,3.0,6,23,Automatic,9,2100,3000,383
Mercedes-Benz,SL 450,3.0,6,22,Automatic,9,2200,3500,395
Mercedes-Benz,SL 550,4.7,8,20,Automatic,9,2450,4750,435
NISSAN,370Z,3.7,6,22,Semi-Automatic,7,2200,3500,406
NISSAN,370Z,3.7,6,20,Manual,6,2450,4750,445
NISSAN,370Z Roadster,3.7,6,21,Semi-Automatic,7,2300,4000,429
TOYOTA,Supra 3.0,3.0,6,26,Semi-Automatic,8,1900,2000,334
Aston Martin Lagonda Ltd,DB11 V12,5.2,12,18,Semi-Automatic,8,2700,6000,497
Aston Martin Lagonda Ltd,DB11 V8,4.0,8,20,Semi-Automatic,8,2450,4750,431
Aston Martin Lagonda Ltd,DBS,5.2,12,17,Semi-Automatic,8,2850,6750,522
Bentley,Continental GT Convertible,4.0,8,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2550,5250,469
"Ferrari North America, Inc.",GTC4Lusso,6.3,12,13,Automated Manual,7,3750,11250,661
"Ferrari North America, Inc.",GTC4Lusso T,3.9,8,17,Automated Manual,7,2850,6750,524
"Ferrari North America, Inc.",Portofino,3.9,8,18,Automated Manual,7,2700,6000,485
Lotus Cars Ltd,Evora,3.5,6,20,Semi-Automatic,6,2450,4750,451
Lotus Cars Ltd,Evora,3.5,6,19,Manual,6,2550,5250,468
Lotus Cars Ltd,Evora GT,3.5,6,20,Semi-Automatic,6,2450,4750,438
Lotus Cars Ltd,Evora GT,3.5,6,20,Manual,6,2450,4750,441
Mini,COOPER CONVERTIBLE,1.5,3,31,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,281
Mini,COOPER S CONVERTIBLE,2.0,4,29,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1700,1000,304
Mini,JOHN COOPER WORKS CONVERTIBLE,2.0,4,28,Semi-Automatic,8,1750,1250,313
Porsche,911 Carrera 4S,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,445
Porsche,911 Carrera 4S Cabriolet,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,445
Porsche,911 Carrera S,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,444
Porsche,911 Carrera S Cabriolet,3.0,6,20,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2450,4750,444
Subaru,BRZ,2.0,4,27,Semi-Automatic,6,1800,1500,322
Subaru,BRZ,2.0,4,24,Manual,6,2050,2750,372
Subaru,BRZ tS,2.0,4,23,Manual,6,2100,3000,384
TOYOTA,86,2.0,4,27,Semi-Automatic,6,1800,1500,328
TOYOTA,86,2.0,4,24,Manual,6,2050,2750,373
Audi,A3,2.0,4,30,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1350,,293
Audi,A3 Cabriolet quattro,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,359
Audi,A3 quattro,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1600,500,359
Audi,S3,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1950,2250,358
Audi,S5,3.0,6,23,Semi-Automatic,8,2100,3000,393
Audi,S5 Cabriolet,3.0,6,22,Semi-Automatic,8,2200,3500,405
Audi,TT Coupe quattro,2.0,4,26,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1550,250,340
Audi,TTS Coupe,2.0,4,25,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,1950,2250,354
Bentley,Continental GT,4.0,8,19,Automated Manual- Selectable (e.g. Automated Manual with paddles),8,2550,5250,469
BMW,230i Convertible,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,230i Coupe,2.0,4,27,Semi-Automatic,8,1800,1500,324
BMW,230i Coupe,2.0,4,25,Manual,6,1950,2250,356
BMW,230i xDrive Convertible,2.0,4,24,Semi-Automatic,8,2050,2750,361
BMW,230i xDrive Coupe,2.0,4,24,Semi-Automatic,8,2050,2750,361
BMW,430i Convertible,2.0,4,27,Semi-Automatic,8,1800,1500,327
BMW,430i xDrive Convertible,2.0,4,26,Semi-Automatic,8,1900,2000,344
BMW,440i Convertible,3.0,6,24,Semi-Automatic,8,2050,2750,361
BMW,440i xDrive Convertible,3.0,6,23,Semi-Automatic,8,2100,3000,394
BMW,840i Convertible,3.0,6,24,Semi-Automatic,8,2050,2750,361
BMW,840i Coupe,3.0,6,25,Semi-Automatic,8,1950,2250,347
BMW,840i xDrive Convertible,3.0,6,23,Semi-Automatic,8,2100,3000,388
